Video,Query ID,Language Query,Type,IDs,Start,End,Revision
MOT20-03,17,A pedestrian walks on the zebra crossing,M,291,1227,1345,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,292,1228,1365,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,298,1183,1321,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,290,1214,1338,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,293,1166,1303,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,299,1221,1314,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,313,888,1140,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,304,989,1180,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,306,1046,1230,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,302,1074,1198,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,303,1074,1198,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,307,1009,1200,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,308,1026,1200,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,309,1067,1240,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,310,1100,1220,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,314,1105,1200,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,323,877,1145,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,324,1045,1236,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,325,1093,1248,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,322,1033,1216,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,328,929,1177,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,327,970,1225,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,320,1131,1252,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,321,1131,1264,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,337,1486,1592,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,336,1490,1590,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,338,1765,2021,The bounding box disappears after frame 1978
MOT20-03,17,A pedestrian walks on the zebra crossing,M,383,1659,1773,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,382,1668,1798,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,381,1699,1762,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,387,1733,1820,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,380,1867,2060,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,394,1878,2058,The bounding box disappears after frame 2034
MOT20-03,17,A pedestrian walks on the zebra crossing,M,420,1453,1586,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,419,1512,1607,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,416,1515,1598,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,414,1524,1603,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,413,1566,1638,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,412,1566,1640,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,415,1566,1623,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,428,1084,1230,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,433,1344,1430,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,421,1404,1561,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,424,1413,1516,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,422,1413,1516,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,425,1533,1590,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,440,584,820,The bounding box disappears after frame 801
MOT20-03,17,A pedestrian walks on the zebra crossing,M,438,1296,1404,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,450,1404,1526,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,451,1405,1557,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,479,220,300,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,467,1371,1494,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,488,220,194,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,489,260,422,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,492,257,423,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,493,301,452,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,487,301,430,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,482,301,404,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,494,511,675,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,499,137,299,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,507,160,226,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,500,174,219,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,502,148,285,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,497,294,428,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,498,325,442,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,501,482,629,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,496,415,442,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,518,84,171,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,519,58,150,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,516,139,237,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,543,414,640,The bounding box disappears after frame 583
MOT20-03,17,A pedestrian walks on the zebra crossing,M,577,1871,2047,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,598,1690,1775,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,592,1759,1805,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,587,1786,1863,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,595,1774,1922,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,586,1841,2028,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,599,1740,1790,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,615,2300,2405,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,596,1896,2040,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,591,1830,1912,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,590,1827,1903,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,601,1700,1760,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,628,2194,2248,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,629,2202,2306,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,630,2211,2334,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,641,2070,2220,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,634,2040,2234,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,633,2166,2336,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,642,2138,2339,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,644,2139,2280,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,640,2038,2183,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,636,2082,2183,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,643,2137,2279,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,635,2144,2285,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,631,2220,2330,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,638,2207,2296,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,637,2217,2343,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,654,1763,1816,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,649,1998,2150,The bounding box disappears after frame 2122
MOT20-03,17,A pedestrian walks on the zebra crossing,M,648,2087,2270,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,646,2103,2289,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,655,2031,2158,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,674,1880,2030,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,668,1889,2019,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,666,1980,2154,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,662,2094,2225,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,670,2024,2140,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,663,1920,2119,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,665,2084,2244,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,669,1936,2128,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,2270,1988,2127,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,671,2090,2197,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,667,1921,2118,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,662,2083,2222,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,661,2257,2329,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,664,2109,2203,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,673,1948,2122,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,675,1920,2010,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,656,2063,2165,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,659,2063,2165,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,657,2063,2165,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,652,2091,2175,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,700,2126,2282,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,701,2095,2265,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,702,2226,2362,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,704,2118,2269,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,705,2154,2327,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,706,1904,2137,
MOT20-03,17,A pedestrian walks on the zebra crossing,M,731,2180,2285,
MOT20-03,18,A person accompanied by a child looks back,M,260,1180,1196,
MOT20-03,18,A person accompanied by a child looks back,M,260,1267,1290,
MOT20-03,19,A person appears from behind the white structure,M,246,590,616,
MOT20-03,19,A person appears from behind the white structure,M,246,740,759,
MOT20-03,19,A person appears from behind the white structure,M,246,968,1007,
MOT20-03,20,A person begins to sprint,M,61,503,549,
MOT20-03,20,A person begins to sprint,M,270,1367,1524,
MOT20-03,20,A person begins to sprint,M,561,2094,2135,
MOT20-03,20,A person begins to sprint,M,586,1356,1400,
MOT20-05,21,A person calls another person by touching her,M,427,387,440,
MOT20-05,22,A person checks her phone,M,898,573,1124,
MOT20-05,23,A person climbs up and sits on the white box structure,M,624,2287,2420,
MOT20-03,24,A person comes back from behind the white column,M,246,590,616,
MOT20-03,24,A person comes back from behind the white column,M,246,740,759,
MOT20-03,24,A person comes back from behind the white column,M,246,968,1007,
MOT20-03,25,A person comes back from behind the white structure,M,246,590,616,
MOT20-03,25,A person comes back from behind the white structure,M,246,740,759,
MOT20-03,25,A person comes back from behind the white structure,M,246,968,1007,
MOT20-05,26,A person converses with a group of people,M,556,2101,2549,
MOT20-05,26,A person converses with a group of people,M,574,2435,2627,
MOT20-05,26,A person converses with a group of people,M,571,2435,2627,
MOT20-05,27,A person converses with another person,M,424,1518,1715,
MOT20-05,27,A person converses with another person,M,618,2497,2752,
MOT20-03,28,A person decelerates while running,M,290,928,948,
MOT20-03,29,A person disappears behind the white structure,M,246,546,565,
MOT20-03,29,A person disappears behind the white structure,M,246,705,725,
MOT20-03,29,A person disappears behind the white structure,M,246,790,809,
MOT20-03,29,A person disappears behind the white structure,M,246,1069,1098,
MOT20-03,29,A person disappears behind the white structure,M,3,959,1065,
MOT20-03,29,A person disappears behind the white structure,M,30,192,315,
MOT20-03,29,A person disappears behind the white structure,M,37,848,997,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,42,978,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,43,1038,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,45,1214,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,44,1111,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,60,755,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,52,826,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,59,807,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,58,892,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,50,916,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,47,1072,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,46,992,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,61,779,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,169,141,177,
MOT20-03,29,A person disappears behind the white structure,M,237,1369,1404,
MOT20-03,29,A person disappears behind the white structure,M,260,1432,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,270,1450,1500,
MOT20-03,29,A person disappears behind the white structure,M,264,1431,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,267,1471,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,268,1452,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,266,1527,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,262,1564,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,265,1483,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,277,969,1042,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,271,1446,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,305,687,846,
MOT20-03,29,A person disappears behind the white structure,M,315,1241,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,326,995,1102,
MOT20-03,29,A person disappears behind the white structure,M,332,1633,1667,
MOT20-03,29,A person disappears behind the white structure,M,349,1283,1410,
MOT20-03,29,A person disappears behind the white structure,M,367,1915,2405,
MOT20-03,29,A person disappears behind the white structure,M,368,1823,2405,
MOT20-03,29,A person disappears behind the white structure,M,365,1858,2405,
MOT20-03,29,A person disappears behind the white structure,M,371,1896,2405,
MOT20-03,29,A person disappears behind the white structure,M,374,2078,2405,
MOT20-03,29,A person disappears behind the white structure,M,373,1987,2405,
MOT20-03,29,A person disappears behind the white structure,M,369,2010,2405,
MOT20-03,29,A person disappears behind the white structure,M,372,1965,2405,
MOT20-03,29,A person disappears behind the white structure,M,375,1931,2405,
MOT20-03,29,A person disappears behind the white structure,M,386,2032,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,389,2011,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,404,1656,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,405,1703,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,401,1784,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,393,1865,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,406,1744,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,449,627,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,439,1568,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,459,1543,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,456,1573,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,458,1573,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,454,1616,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,453,1600,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,453,1600,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,457,1699,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,455,1677,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,465,1684,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,472,382,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,470,425,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,471,488,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,468,453,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,486,430,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,508,304,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,510,339,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,513,37,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,512,167,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,511,303,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,540,252,2405,
MOT20-03,29,A person disappears behind the white structure,M,541,232,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,542,289,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,552,2042,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,551,2111,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,550,2066,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,555,2304,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,554,2385,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,567,2030,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,566,2148,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,568,2065,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,569,2041,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,570,2092,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,563,2400,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,571,1847,1908,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,605,2229,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,603,2291,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,604,2260,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,625,1687,1715,
MOT20-03,29,A person disappears behind the white structure,M,617,2200,2405,The bounding box disappears
MOT20-03,29,A person disappears behind the white structure,M,699,2270,2405,The bounding box disappears
MOT20-05,30,A person drinks from a bottle,M,766,1931,1981,
MOT20-05,31,A person engages in a conversation with another person,M,424,1518,1715,
MOT20-05,31,A person engages in a conversation with another person,M,618,2497,2752,
MOT20-05,32,A person engages in conversation with a group of people,M,556,2101,2549,
MOT20-05,32,A person engages in conversation with a group of people,M,574,2435,2627,
MOT20-05,32,A person engages in conversation with a group of people,M,571,2435,2627,
MOT20-05,33,A person engages in conversation with another person,M,616,2380,2838,
MOT20-05,34,A person engages in conversation with other people,M,903,2106,3315,
MOT20-03,35,A person enters the building on the right,M,1,1130,1138,
MOT20-03,35,A person enters the building on the right,M,561,2134,2139,
MOT20-05,36,A person faces forward,M,920,2705,2740,
MOT20-05,37,A person faces right and starts talking with another person,M,844,2481,2750,
MOT20-03,38,A person gazes backward,M,61,543,625,
MOT20-03,38,A person gazes backward,M,125,733,788,
MOT20-03,38,A person gazes backward,M,125,858,910,
MOT20-03,38,A person gazes backward,M,125,2192,2225,
MOT20-03,38,A person gazes backward,M,139,2126,2140,
MOT20-03,38,A person gazes backward,M,139,2167,2230,
MOT20-03,38,A person gazes backward,M,193,96,137,
MOT20-03,38,A person gazes backward,M,246,482,554,
MOT20-03,38,A person gazes backward,M,256,2104,2180,
MOT20-03,38,A person gazes backward,M,256,2372,2395,
MOT20-03,38,A person gazes backward,M,334,966,1020,
MOT20-03,38,A person gazes backward,M,334,1725,1760,
MOT20-03,38,A person gazes backward,M,485,138,180,
MOT20-03,38,A person gazes backward,M,485,680,763,
MOT20-03,38,A person gazes backward,M,548,1783,1828,
