Video,QID,Language Query,Type,IDs,Start,End,Revision
0e4aeed9,,"Horse approaching from the right side, is heading toward the opposite side of the camera.",M,1,1,32,
0e4aeed9,,"Horse coming from the right side, is going toward the opposite side of the camera.",M,2,1,32,
0e4aeed9,,"Horse approaching from the right side, is heading toward the opposite side of the camera.",M,2,1,32,
0e4aeed9,,"Horse coming from the right side, is going toward the opposite side of the camera.",M,3,1,32,
0e4aeed9,,"Horse approaching from the right side, is heading toward the opposite side of the camera.",M,3,1,32,
0e4aeed9,,"Horse coming from the right side, is going toward the opposite side of the camera.",M,4,1,32,
0e4aeed9,,Vehicle is stationary and parked along the side of the road,O,6,1,32,
0e4aeed9,,"Horse approaching from the right side, is heading toward the opposite side of the camera.",M,4,1,32,
0e7001dd,,Rabbit is eating leaves,M,1,1,85,
0e7001dd,,Rabbit is eating leaves,M,2,1,73,
0e7001dd,,Rabbit is eating leaves,M,3,1,46,
0e7001dd,,Rabbit is falling down on the ground,M,3,47,51,
0e7001dd,,Rabbit is descending to the ground.,M,3,47,51,
0e7001dd,,Rabbit coming into the frame from right side is going outside of the frame in right side,M,4,61,77,
0e7001dd,,Rabbit on the open ground is going outside of the frame in right side,M,2,79,84,
0f685e01,,Person is walking with a bicycle,M,1,1,34,
0f685e01,,Person is walking towards the right side,M,1,1,17,
0f685e01,,Person is walking towards the left side,M,1,25,34,
0f685e01,,Person is looking towards the left side,M,1,18,34,
0f685e01,,Vehicle is stationary and parked along the side of the road,O,3,1,34,
0f685e01,,Bicycle is stationary and parked along the side of the road,O,3,1,34,
0f685e01,,Bicycle is moving towards the right side,M,2,1,17,
0f685e01,,Bicycle is moving towards the left side,M,2,25,34,
001ca3cb,,Fish is moving at the bottom of the aquarium.,M,2,1,35,
001ca3cb,,fish is swimming at the bottom of the aquarium.,M,2,1,35,
001ca3cb,,Fish is swimming in a circular motion from the top to the middle of the aquarium.,M,1,1,35,
001ca3cb,,Fish is moving in a circular motion from the top to the middle of the aquarium.,M,1,1,35,
001ca3cb,,Fish coming into the frame from top side of the aquarium is moving towards the bottom of aquarium,M,3,3,24,
001ca3cb,,Fish coming into the frame from top side of the aquarium is swimming towards the bottom of aquarium,M,3,3,24,
001ca3cb,,Fish coming into the frame from top side of the aquarium is moving towards the bottom of aquarium,M,4,7,30,
001ca3cb,,Fish coming into the frame from top side of the aquarium is swimming towards the bottom of aquarium,M,4,7,30,
1a6a731f,,Chameleon is walking over another chameleon,M,3,13,19,
1a6a731f,,Chameleon is moving on top of another chameleon,M,3,13,19,
1a6a731f,,Chameleon is going outside of the frame in the left side,M,3,12,20,
1a6a731f,,Chameleon is attacking another chameleon,M,2,1,27,
1a6a731f,,Chameleon is being attacked by another chameleon,M,1,1,27,
1b7eada8,,Giraffe on the open area is going outside of the frame in left side,M,1,1,10,
1b7eada8,,Giraffe on the open area is going outside of the frame in left side,M,4,1,18,
1b7eada8,,Giraffe on the open area is going outside of the frame in left side,M,3,1,16,
1b7eada8,,Giraffe is walking towards the right side,M,5,1,40,
1b7eada8,,Giraffe is fighting with another giraffe with their long neck,M,6,1,40,
1b7eada8,,Giraffe is fighting with another giraffe with their long neck,M,7,1,40,
1b8bb699,,Scooter is coming inside of the frame from left side is going outside of the frame in right side,M,5,3,9,
1b8bb699,,Person is coming inside of the frame from left side is going outside of the frame in right side,M,6,4,8,
1b8bb699,,Person on motorcycle is circling around a scooter,M,4,1,46,
1b8bb699,,Person on a motorcycle is maneuvering in circles around a scooter.,M,4,1,46,
1b8bb699,,Motorcycle is circling around a scooter,M,2,1,46,
1b8bb699,,Motorcycle is maneuvering in circles around a scooter.,M,2,1,46,
1b8bb699,,Scooter is being parked inside of a building,M,1,1,46,
1b8bb699,,Scooter is being parked in front of a building,M,3,1,46,
1c6fb814,,Horse is asserting dominance in the fight with another horse.,M,1,1,60,
1c6fb814,,Horse is using its hind legs to kick another horse.,M,1,1,47,
1c6fb814,,Horse is fighting with another horse,M,1,1,60,
1c6fb814,,Horse is fighting with another horse,M,2,1,60,
1c6fb814,,Horse is being dominated during the fight with another Horse.,M,2,1,60,
1cd99b86,,Fish moving at the top side of the aquarium is going to the bottom of aquarium,M,2,1,22,
1cd99b86,,Fish swimming at the top side of the aquarium is going to the bottom of aquarium,M,2,1,22,
1cd99b86,,Fish moving at the top side of the aquarium is going to the bottom of aquarium,M,3,1,22,
1cd99b86,,Fish swimming at the top side of the aquarium is going to the bottom of aquarium,M,3,1,22,
1cd99b86,,Fish moving at the top side of the aquarium is going to the bottom of aquarium,M,4,1,22,
1cd99b86,,Fish swimming at the top side of the aquarium is going to the bottom of aquarium,M,4,1,22,
1cd99b86,,Fish moving at the top side of the aquarium is going to the bottom of aquarium,M,5,1,22,
1cd99b86,,Fish swimming at the top side of the aquarium is going to the bottom of aquarium,M,5,1,22,
1cd99b86,,Fish moving at middle of the aquarium is going to the bottom of aquarium,M,1,1,21,
1cd99b86,,Fish swimming at middle of the aquarium is going to the bottom of aquarium,M,1,1,21,
1cd99b86,,Fish moving at middle of the aquarium is going to the bottom of aquarium,M,7,1,10,
1cd99b86,,Fish swimming at middle of the aquarium is going to the bottom of aquarium,M,7,1,10,
1cd99b86,,Fish is swimming faster than other fishes,M,5,9,21,
1cd99b86,,Fish is moving faster than other fishes,M,5,9,21,
1cd99b86,,Fish is swimming behind a wooden branch,M,7,11,28,
1cd99b86,,Fish is stationary at the bottom of the aquarium,O,8,1,22,
1cd99b86,,Fish is stationary at the bottom of the aquarium,O,9,1,18,
1cd99b86,,Fish is moving at the bottom of the aquarium.,M,1,21,28,
1cd99b86,,fish is swimming at the bottom of the aquarium.,M,1,23,28,
1cd99b86,,Fish is moving at the bottom of the aquarium.,M,2,23,28,
1cd99b86,,fish is swimming at the bottom of the aquarium.,M,2,23,28,
1cd99b86,,Fish is moving at the bottom of the aquarium.,M,3,23,28,
1cd99b86,,fish is swimming at the bottom of the aquarium.,M,3,23,28,
1cd99b86,,Fish is moving at the bottom of the aquarium.,M,4,23,28,
1cd99b86,,fish is swimming at the bottom of the aquarium.,M,4,23,28,
1cd99b86,,Fish is moving at the bottom of the aquarium.,M,5,23,28,
1cd99b86,,fish is swimming at the bottom of the aquarium.,M,5,23,28,
1cd99b86,,Fish is moving at the bottom of the aquarium.,M,7,11,28,
1cd99b86,,fish is swimming at the bottom of the aquarium.,M,7,11,28,
1d7a23e0,,Person riding on horse is going outside of the frame in left side from the race field,M,3,1,34,
1d7a23e0,,Person riding on horse is going outside of the frame in left side from the race field,M,5,1,80,
1d7a23e0,,Horse running on the race field is going outside of the frame in left side,M,4,1,36,
1d7a23e0,,Horse running on the race field is going outside of the frame in left side,M,6,1,81,
1d7a23e0,,Person riding on horse is coming inside of the frame in right side and going outside of the frame in left side from the race field,M,10,28,89,
1d7a23e0,,Person riding on horse is coming inside of the frame in right side and going outside of the frame in left side from the race field,M,8,6,67,
1d7a23e0,,Horse coming inside of the frame in right side is going outside of the frame in left side from the race field,M,7,5,70,
1d7a23e0,,Horse coming inside of the frame in right side is going outside of the frame in left side from the race field,M,9,21,89,
1d7a23e0,,Person riding on horse is coming inside of the frame in right side and moving on the race field,M,12,83,126,
1d7a23e0,,Horse coming inside of the frame in right side is running on the race field,M,11,71,126,
1d7a23e0,,Person riding on horse is moving faster than others on the race field,M,1,1,126,
1d7a23e0,,Horse is running faster than others on the race field,M,2,1,126,
1d29944c,,Person riding on scooter is talking with another person,M,1,24,36,
1d29944c,,Person walking on the road is talking with another person,M,4,24,36,
1d29944c,,Scooter is going towards the left side,M,3,1,36,
1d29944c,,Person is engaged in conversation using a mobile phone.,M,2,3,36,
1dba51af,,Duck is searching for food in the water while swimming,M,5,1,3,
1dba51af,,Duck is searching for food in the water while swimming,M,5,22,39,
1dba51af,,Duck is searching for food in the water while swimming,M,4,1,3,
1dba51af,,Duck is searching for food in the water while swimming,M,4,36,39,
1dba51af,,Duck is searching for food in the water while swimming,M,3,20,33,
1dba51af,,Duck is searching for food in the water while swimming,M,2,22,28,
1dba51af,,Duck is looking for food in the water while swimming,M,5,1,3,
1dba51af,,Duck is looking for food in the water while swimming,M,5,22,39,
1dba51af,,Duck is looking for food in the water while swimming,M,4,1,3,
1dba51af,,Duck is looking for food in the water while swimming,M,4,36,39,
1dba51af,,Duck is looking for food in the water while swimming,M,3,20,33,
1dba51af,,Duck is looking for food in the water while swimming,M,2,22,28,
1dba51af,,Duck is swimming towards the left side,M,4,7,48,
1dba51af,,Duck is swimming towards the camera side is turing to the left side,M,3,1,28,
1dba51af,,Duck is swimming towards the group of other ducks,M,5,1,15,
1dba51af,,Duck is staying in the same position while swimming.,M,1,1,48,
1dc0c9a0,,Turtle swimming in the sea is going outside of the frame in upper side,M,1,1,10,
1dc0c9a0,,Turtle swimming in the sea is going outside of the frame in left side,M,4,1,15,
1dc0c9a0,,Turtle swimming in the sea is going outside of the frame in left side,M,5,1,23,
1dc0c9a0,,Turtle swimming in the sea is going outside of the frame in right side,M,2,1,17,
1dc0c9a0,,Turtle swimming in the sea is going outside of the frame in right side,M,3,1,20,
1dc0c9a0,,Turtle entering into frame from bottom side is swimming in the sea,M,8,20,26,
1dc0c9a0,,Turtle swimming in the sea is going towards the upper side,M,6,1,26,
1dc12eca,,Parrot is eating food from food container,M,3,35,43,
1dc12eca,,Parrot is eating food from food container,M,6,1,11,
1dc12eca,,Parrot is eating food from food container,M,6,65,71,
1dc12eca,,Parrot is eating food from food container,M,7,21,49,
1dc12eca,,Parrot is eating food from food container,M,7,69,71,
1dc12eca,,Parrot is eating food from food container,M,7,80,83,
1dc12eca,,Parrot is eating food from food container,M,5,1,34,
1dc12eca,,Parrot is eating food from food container,M,5,45,47,
1dc12eca,,Parrot is eating food from food container,M,5,65,67,
1dc12eca,,Parrot is eating food from food container,M,5,79,83,
1dc12eca,,Parrot is eating food from food container,M,4,12,22,
1dc12eca,,Parrot is eating food from food container,M,4,57,83,
1dc12eca,,Parrot is eating food from food container,M,1,58,83,
1dc12eca,,Parrot is walking towards the food container,M,1,1,33,
1dc12eca,,Parrot is blocking other parrots from accessing the food,M,5,35,43,
1dc12eca,,Parrot is being blocked by another parrot from accessing the food,M,2,35,43,
1dc12eca,,Parrot is looking towards the camera,M,6,12,39,
1dc12eca,,Parrot is looking towards the camera,M,6,57,61,
1dc12eca,,Parrot is looking towards the left side,M,3,41,58,
1dc12eca,,Parrot is looking towards the left side,M,2,60,84,
1dc12eca,,Parrot is looking towards the left side,M,3,80,84,
1dc12eca,,Parrot is being blocked by another parrot from accessing the food,M,3,35,43,
1eac1aff,,Fish is asserting dominance in the fight with another fish.,M,1,1,29,
1eac1aff,,Fish is fighting with another fish,M,1,1,29,
1eac1aff,,Fish is fighting with another fish,M,2,1,29,
1eac1aff,,Fish is being dominated during the fight with another fish.,M,2,1,29,
1fb378d9,,Fish is moving from middle of the aquarium to the top of aquarium,M,1,1,20,
1fb378d9,,Fish is swimming from middle of the aquarium to the top of aquarium,M,1,1,20,
1fb378d9,,Fish is moving from middle of the aquarium to the top of aquarium,M,2,1,20,
1fb378d9,,Fish is swimming from middle of the aquarium to the top of aquarium,M,2,1,20,
1fb378d9,,Fish is moving from middle of the aquarium to the top of aquarium,M,4,1,37,
1fb378d9,,Fish is swimming from middle of the aquarium to the top of aquarium,M,4,1,37,
1fb378d9,,Fish is moving at the top of the aquarium.,M,1,21,66,
1fb378d9,,fish is swimming at the top of the aquarium.,M,1,21,66,
1fb378d9,,Fish is moving at the top of the aquarium.,M,2,21,66,
1fb378d9,,fish is swimming at the top of the aquarium.,M,2,21,66,
1fb378d9,,Fish is moving at the top of the aquarium.,M,3,1,66,
1fb378d9,,fish is swimming at the top of the aquarium.,M,3,1,66,
1fb378d9,,Fish is moving at the bottom of the aquarium.,M,5,1,66,
1fb378d9,,fish is swimming at the bottom of the aquarium.,M,5,1,66,
1fb378d9,,Fish is moving at the bottom of the aquarium.,M,6,1,66,
1fb378d9,,fish is swimming at the bottom of the aquarium.,M,6,1,66,
1fb378d9,,Fish is moving at the bottom of the aquarium.,M,7,1,66,
1fb378d9,,fish is swimming at the bottom of the aquarium.,M,7,1,66,
1fb378d9,,Fish is moving at the bottom of the aquarium.,M,8,1,66,
1fb378d9,,fish is swimming at the bottom of the aquarium.,M,8,1,66,
1fb378d9,,Fish swimming in the aquarium is going outside of the frame in right side,M,4,1,61,
1fb378d9,,Fish moving in the aquarium is going outside of the frame in right side,M,4,1,61,
1fc0e6a8,,Zebra entering into frame from left side is eating grass on the field,M,7,12,44,
1fc0e6a8,,Zebra is going outside of the frame in right side from the field,M,5,1,42,
1fc0e6a8,,Zebra is eating grass on the field,M,7,20,44,
1fc0e6a8,,Zebra is eating grass on the field,M,1,1,44,
1fc0e6a8,,Zebra is eating grass on the field,M,2,1,44,
1fc0e6a8,,Zebra is eating grass on the field,M,3,1,44,
1fc0e6a8,,Zebra is grazing on grass in the field,M,7,20,44,
1fc0e6a8,,Zebra is grazing on grass in the field,M,1,1,44,
1fc0e6a8,,Zebra is grazing on grass in the field,M,2,1,44,
1fc0e6a8,,Zebra is grazing on grass in the field,M,3,1,44,
1fc0e6a8,,Zebra is stationary and remains in the same place.,O,4,1,44,
1fc5e086,,Dog is placing its front legs on the back of another dog.,M,1,17,24,
1fc5e086,,Dog is being disturbed by another dog,M,2,1,25,
1fc5e086,,Dog is going to the right side of other dogs,M,3,34,54,
02deca50,,Zebra walking on the field is going outside of the frame in left side,M,4,1,17,
02deca50,,Zebra walking on the field is going outside of the frame in left side,M,5,1,21,
02deca50,,Zebra is walking towards the right side,M,1,1,23,
02deca50,,Zebra is walking towards the right side,M,2,1,23,
02deca50,,Zebra is kicking another zebra with its back legs,M,2,36,41,
02deca50,,Zebra is chasing another zebra,M,1,22,55,
02deca50,,Zebra is being chased by another zebra,M,2,27,55,
02deca50,,Zebra is being chased by another zebra,M,3,27,55,
2ae75f99,,Cat engaged in a fight with another cat falls from the sofa,M,1,10,28,
2ae75f99,,Cat engaged in a fight with another cat falls from the sofa,M,2,10,28,
2ae75f99,,Cat falls down from sofa,M,2,21,26,
2ae75f99,,Cat falls down from sofa,M,1,21,28,
2ae75f99,,Cat gets back onto the sofa,M,2,29,32,
2b0e34d3,,Bird is soaring down to land on person's outstretched hand,M,2,23,36,
2b0e34d3,,Bird is soaring down to land on person's outstretched hand,M,4,22,57,
2b0e34d3,,Bird is flying in the sky,M,2,22,35,
2b0e34d3,,Bird is flying in the sky,M,4,23,56,
2b0e34d3,,Bird is flying in the sky,M,3,23,59,
2b0e34d3,,Person is receiving bird with both hands,M,1,32,57,
2bd4e845,,fish is swimming at the bottom of the aquarium.,M,7,1,70,
2bd4e845,,Fish is moving at the bottom of the aquarium.,M,7,1,70,
2bd4e845,,Fish is moving at the top of the aquarium.,M,1,1,70,
2bd4e845,,fish is swimming at the top of the aquarium.,M,1,1,70,
2bd4e845,,Fish moving at middle of the aquarium is going to the bottom of aquarium,M,6,1,65,
2bd4e845,,Fish swimming at middle of the aquarium is going to the bottom of aquarium,M,6,1,65,
2bd4e845,,Fish moving at bottom of the aquarium is going to the middle of aquarium,M,2,1,61,
2bd4e845,,Fish swimming at bottom of the aquarium is going to the middle of aquarium,M,2,1,61,
2bd4e845,,Fish moving at middle of the aquarium is going to the right side of aquarium,M,4,1,70,
2bd4e845,,Fish swimming at middle of the aquarium is going to the right side of aquarium,M,4,1,70,
2bd4e845,,Fish moving at middle of the aquarium is going to the right side of aquarium,M,5,1,70,
2bd4e845,,Fish swimming at middle of the aquarium is going to the right side of aquarium,M,5,1,70,
2bd4e845,,Fish moving at middle of the aquarium is going to the left side of aquarium,M,3,1,70,
2bd4e845,,Fish swimming at middle of the aquarium is going to the left side of aquarium,M,3,1,70,
2c0b9d99,,Fish swimming at the bottom of the aquarium is going outside of the frame at bottom side,M,5,1,33,
2c0b9d99,,Fish moving at the bottom of the aquarium is going outside of the frame at bottom side,M,5,1,33,
2c0b9d99,,fish is swimming at the bottom of the aquarium.,M,6,1,70,
2c0b9d99,,Fish is moving at the bottom of the aquarium.,M,6,1,70,
2c0b9d99,,fish entering into frame from right side is swimming at the bottom of the aquarium.,M,11,49,70,
2c0b9d99,,Fish entering into frame from right side is moving at the bottom of the aquarium.,M,11,49,70,
2c0b9d99,,Fish moving at middle of the aquarium is going to the top of aquarium,M,3,1,70,
2c0b9d99,,Fish swimming at middle of the aquarium is going to the top of aquarium,M,3,1,70,
2c0b9d99,,Fish moving at middle of the aquarium is going to the top of aquarium,M,7,1,70,
2c0b9d99,,Fish swimming at middle of the aquarium is going to the top of aquarium,M,7,1,70,
2c0b9d99,,Fish is moving at the top of the aquarium.,M,4,1,70,from 35 frame 4 became 10
2c0b9d99,,fish is swimming at the top of the aquarium.,M,4,1,70,from 35 frame 4 became 10
2c0b9d99,,Fish is moving at the middle of the aquarium.,M,9,1,70,
2c0b9d99,,fish is swimming at the middle of the aquarium.,M,9,1,70,
2c0b9d99,,Fish moving at middle of the aquarium is going outside of the frame at left side,M,1,1,16,
2c0b9d99,,Fish swimming at middle of the aquarium is going outside of the frame at left side,M,1,1,16,
2cd705a9,,Dog coming inside of the frame left side is going outside of the frame at bottom side,M,5,12,39,
2cd705a9,,Fish swimming at the bottom of the aquarium is going outside of the frame at top side,M,1,1,34,
2cd705a9,,Fish moving at the bottom of the aquarium is going outside of the frame at top side,M,1,1,34,
2cd705a9,,Fish moving at bottom of the aquarium is going to the middle of aquarium,M,2,1,48,
2cd705a9,,Fish swimming at bottom of the aquarium is going to the middle of aquarium,M,2,1,48,
2cd705a9,,Fish moving at bottom of the aquarium is going outside of the frame at right side,M,3,1,15,
2cd705a9,,Fish swimming at bottom of the aquarium is going outside of the frame at right side,M,3,1,15,
2cd705a9,,fish entering into frame from bottom side is swimming at the bottom of the aquarium.,M,6,15,70,
2cd705a9,,fish entering into frame from bottom side is moving at the bottom of the aquarium.,M,6,15,70,
2cd705a9,,fish entering into frame from bottom-right corner side is swimming at the bottom of the aquarium.,M,7,23,70,
2cd705a9,,fish entering into frame from bottom-right corner side is moving at the bottom of the aquarium.,M,7,23,70,
2cd705a9,,fish entering into frame from right side is swimming at the middle of the aquarium.,M,8,33,70,
2cd705a9,,fish entering into frame from right side is moving at the middle of the aquarium.,M,8,33,70,
2cd705a9,,Fish moving at middle of the aquarium is going to the bottom of aquarium,M,4,1,70,
2cd705a9,,Fish swimming at middle of the aquarium is going to the bottom of aquarium,M,4,1,70,
2d22d3be,,Bird remains stationary while consuming its food in one location.,O,1,1,48,
2d22d3be,,Bird remains stationary while consuming its food in one location.,O,3,1,48,
2d22d3be,,Bird is leaping from one spot to another.,M,2,18,21,
2d22d3be,,Bird is leaping from one spot to another.,M,2,41,44,
2d22d3be,,Bird is leaping from one spot to another.,M,4,44,47,
2da12766,,Rabbit coming into the frame from bottom-right corner is joining with other rabbits,M,5,10,12,
2da12766,,Rabbit coming into the frame from left side is joining with other rabbits,M,7,38,45,
2da12766,,Rabbit coming out from left side is joining with other rabbits,M,4,1,11,
2da12766,,Rabbit remains stationary while consuming its food in one location.,O,1,1,70,
2da12766,,Rabbit remains stationary while consuming its food in one location.,O,3,1,7,
2da12766,,Rabbit is walking over the food,M,2,21,32,
2e92a7dc,,Chicken is revolving in place,M,4,1,41,
2e92a7dc,,Chicken is spinning in place.,M,4,1,41,
2e92a7dc,,Chicken is revolving in place,M,3,1,28,
2e92a7dc,,Chicken is spinning in place.,M,3,1,28,
2e92a7dc,,Chicken is walking on the wooden log,M,3,29,41,
2e92a7dc,,Rabbit remains stationary while consuming its food in one location.,O,1,1,41,
2e92a7dc,,Rabbit remains stationary while consuming its food in one location.,O,2,1,41,
2f5fb2a3,,Pigeon is moving in the cage,M,1,1,26,
2f5fb2a3,,Pigeon is walking in the cage,M,1,1,26,
2f5fb2a3,,Pigeon is stationary and remains in the same place.,O,2,1,26,
2f49220a,,Tiger is attacking another tiger,M,2,16,53,
2f49220a,,Tiger under attack from another tiger is moving out of the frame in left side,M,5,16,32,
2f49220a,,Tiger under attack from another tiger is moving out of the frame in left side,M,3,14,20,
2f49220a,,Tiger under attack from another tiger is going back to the cave,M,1,20,54,
2f49220a,,Tiger is retaliating against the attacking tiger,M,6,31,41,
2f49220a,,Tiger is calmly consuming its meal in the corner of the cage,M,4,11,66,
2f49220a,,Tiger is calmly eating its meal in the corner of the cage,M,4,11,66,
2fa9c523,,Baby monkey is fighting with another baby monkey,M,2,1,13,
2fa9c523,,Baby monkey is fighting with another baby monkey,M,3,1,13,One monkey's id can't identified
2fa9c523,,Baby monkey is seated in front of an adult monkey,M,3,34,42,
2fa9c523,,Baby monkey is lying on the ground,M,2,45,51,
2fa9c523,,Monkey entering into the frame from left side is walking on the open field,M,6,48,51,
2fb5a55b,,Vehicle on the road is going outside of the frame in right side,M,2,1,2,
2fb5a55b,,Vehicle on the road is going outside of the frame in right side,M,1,1,9,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,3,4,10,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,4,15,47,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,5,18,47,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,6,21,53,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,7,21,51,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,9,34,51,Bus's id can't identified
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,10,43,59,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,11,55,68,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,12,59,72,
2fb5a55b,,Vehicle entering into frame from left side is going outside of the frame in right side,M,14,65,80,
2fb5a55b,,Vehicle entering into frame from left side is going towards the right side,M,13,64,83,
2fb5a55b,,Vehicle entering into frame from left side is going towards the right side,M,15,73,80,
03c21af7,,Zebra is eating grass on the field,M,4,1,36,
03c21af7,,Zebra is grazing on grass in the field,M,4,1,36,
03c21af7,,Zebra is walking towards the opposite of the camera,M,1,1,36,
03c21af7,,Zebra is walking towards the left side,M,2,1,36,
03c21af7,,Zebra is walking towards the left side,M,3,1,36,
03c99e83,,Zebra walking on the field is going outside of the frame in right side,M,3,1,25,
03c99e83,,Zebra is eating grass on the field,M,3,6,15,
03c99e83,,Zebra is grazing on grass in the field,M,3,6,15,
03c99e83,,Zebra is eating grass on the field,M,4,17,35,
03c99e83,,Zebra is grazing on grass in the field,M,4,17,35,
03c99e83,,Zebra is eating grass on the field,M,1,27,35,
03c99e83,,Zebra is grazing on grass in the field,M,1,27,35,
03c99e83,,Zebra is walking towards the left side,M,2,1,35,
3a6e6ace,,Lizard is eating its food,M,1,1,101,
3a6e6ace,,Lizard is consuming its food.,M,1,1,101,
3a6e6ace,,Lizard is searching for something in the sand.,M,4,65,107,
3a6e6ace,,Lizard is moving in the sunny side,M,5,1,83,
3a6e6ace,,Lizard is moving in the sunny side,M,1,88,175,
3a6e6ace,,Lizard is moving in the sunny side,M,3,120,164,
3a670b81,,Vehicle on the road is going outside of the frame in left side,M,2,1,9,
3a670b81,,Vehicle on the road is going outside of the frame in left side,M,1,1,40,
3a670b81,,Vehicle entering into frame from left side is going outside of the frame in right side,M,6,13,19,
3a670b81,,Vehicle entering into frame from left side is going outside of the frame in right side,M,7,23,29,
3a670b81,,Vehicle entering into frame from left side is going outside of the frame in right side,M,8,40,48,
3a670b81,,Vehicle entering into frame from left side is going outside of the frame in right side,M,9,44,49,
3a670b81,,Vehicle entering into frame from right side is moving on the road,M,5,5,54,
3a670b81,,Vehicle on the road is moving slowly,M,3,34,54,
3a670b81,,Vehicle on the road is moving slowly,M,4,1,54,
3a407bd9,,Bicycle is moving along the inner side of the road,M,2,1,30,
